	TCGA.FA.8693.01A	TCGA.FA.A4BB.01A	TCGA.FA.A4XK.01A	TCGA.FA.A6HN.01A	TCGA.FA.A6HO.01A	TCGA.FA.A7DS.01A	TCGA.FA.A7Q1.01A	TCGA.FA.A82F.01A	TCGA.FA.A86F.01A	TCGA.FF.8041.01A	TCGA.FF.8042.01A	TCGA.FF.8043.01A	TCGA.FF.8046.01A	TCGA.FF.8047.01A	TCGA.FF.8061.01A	TCGA.FF.8062.01A	TCGA.FF.A7CQ.01A	TCGA.FF.A7CR.01A	TCGA.FF.A7CW.01A	TCGA.FF.A7CX.01A	TCGA.FM.8000.01A	TCGA.G8.6324.01A	TCGA.G8.6325.01A	TCGA.G8.6326.01A	TCGA.G8.6906.01A	TCGA.G8.6907.01A	TCGA.G8.6909.01A	TCGA.G8.6914.01A	TCGA.GR.7353.01A	TCGA.GR.A4D4.01A	TCGA.GR.A4D5.01A	TCGA.GR.A4D6.01A	TCGA.GR.A4D9.01B	TCGA.GS.A9TQ.01A	TCGA.GS.A9TT.01A	TCGA.GS.A9TU.01A	TCGA.GS.A9TV.01A	TCGA.GS.A9TW.01A	TCGA.GS.A9TX.01A	TCGA.GS.A9TY.01A	TCGA.GS.A9TZ.01A	TCGA.GS.A9U3.01A	TCGA.GS.A9U4.01A	TCGA.RQ.A68N.01A	TCGA.RQ.A6JB.01A	TCGA.RQ.AAAT.01A	TCGA.VB.A8QN.01A
hsa-mir-3200	8.007	6.485	7.615	5.657	6.855	0	4.439	0.731	0.609	2.844	4.197	2.398	0	4.422	0.98	13.433	3.89	1.881	12.166	3.306	6.316	8.704	4.748	10.492	5.232	1.997	18.178	8.726	11.372	1.507	12.589	3.141	10.112	2.517	7.923	8.071	3.388	3.316	6.616	15.485	43.405	4.85	11.807	3.154	0	46.773	3.291
hsa-mir-320a	1027.171	2070.47	1903.69	1515.185	694.052	1366.154	496.679	919.185	996.679	601.572	557.189	988.569	425.411	411.202	589.774	609.52	330.688	802.811	819.571	716.953	544.721	1260.528	826.962	681.042	768.166	992.414	1206.193	539.265	2542.46	1149.712	1406.388	2257.288	1461.183	941.403	560.259	924.144	814.239	603.488	911.947	1114.889	843.987	1376.396	2187.531	1651.072	1721.673	615.589	847.422
hsa-mir-320b-1	3.432	1.621	5.711	4.714	1.714	6.466	1.332	2.925	1.827	0.711	6.296	5.395	3.815	1.474	0.98	5.037	1.945	1.881	4.424	1.102	1.579	10.287	2.374	4.292	5.232	3.994	6.416	5.236	9.24	6.781	3.597	4.188	2.528	1.259	1.132	1.009	5.647	3.316	4.071	6.636	3.215	3.88	4.293	7.885	0	3.018	4.114
hsa-mir-323b	6.863	3.243	20.941	0.943	0	0.924	2.219	4.753	1.218	6.4	2.099	7.194	3.815	10.317	4.898	0.84	3.89	0.941	1.106	3.858	6.316	9.496	7.914	2.385	12.207	0	1.069	19.197	184.803	3.767	5.395	3.141	5.056	1.259	3.396	3.531	1.129	1.658	0	8.848	0	0.97	1.073	7.885	12.807	33.194	9.873
hsa-mir-324	150.987	191.32	194.176	150.858	169.657	167.19	245.011	122.85	161.953	264.521	353.621	125.295	160.245	324.246	289.009	198.975	231.481	222.454	176.965	618.861	454.723	358.455	384.597	551.32	313.893	516.175	287.647	225.13	1145.777	176.299	145.674	274.309	194.656	307.089	302.2	144.776	190.855	145.898	120.1	68.574	155.937	214.365	184.62	124.579	365.924	101.089	243.531
hsa-mir-326	13.726	27.563	17.133	9.429	18.851	6.466	1.775	10.238	10.959	39.82	62.959	35.37	24.8	29.477	16.655	39.459	1.945	9.406	4.424	16.532	22.105	35.608	187.55	108.738	32.261	19.968	73.783	33.159	22.034	18.835	19.783	11.517	12.64	7.551	5.659	22.196	16.94	11.606	2.544	11.06	28.937	17.46	21.467	23.654	8.233	4.526	14.809
hsa-mir-328	147.556	107.009	102.799	112.201	104.536	40.643	122.949	45.338	77.932	90.307	109.129	116.902	87.753	82.535	130.299	176.307	17.507	46.09	61.938	71.64	549.457	125.024	225.535	103.492	96.784	758.788	167.883	153.577	641.124	119.793	130.388	150.765	91.008	81.806	35.087	150.829	102.768	34.817	113.993	88.483	86.81	109.607	60.109	77.271	105.203	117.686	38.669
hsa-mir-330	203.604	136.194	108.51	138.601	221.069	162.571	148.693	102.741	218.575	301.497	147.954	73.738	160.245	343.406	233.167	229.2	237.317	169.78	168.117	85.417	191.047	587.93	503.299	359.598	215.366	333.467	361.43	104.712	669.555	52.739	131.287	119.356	179.488	273.108	98.47	198.751	241.674	275.217	160.303	97.332	172.013	206.605	569.96	152.965	316.524	363.62	129.993
hsa-mir-331	113.24	61.611	79.955	74.486	61.694	181.045	122.505	68.007	64.538	142.216	183.631	222.413	101.107	386.147	287.05	192.259	42.795	81.833	55.302	138.321	232.098	172.502	178.054	130.199	217.109	1459.668	229.904	108.202	518.869	62.533	65.643	121.45	48.032	164.871	92.811	92.818	83.57	51.396	76.844	79.635	56.266	96.998	82.65	69.386	170.155	158.424	138.22
hsa-mir-335	35.459	42.155	100.896	76.372	277.621	206.909	175.325	436.558	52.97	91.729	13.641	416.05	392.981	201.917	260.598	35.261	272.331	60.669	278.72	13.777	4.737	356.873	17.41	138.307	84.577	129.793	63.09	183.245	140.024	105.478	187.938	881.557	85.952	11.327	374.638	140.74	80.182	43.106	218.318	278.722	73.949	67.898	84.796	178.196	52.144	523.552	46.896
hsa-mir-337	19.445	8.107	152.295	9.429	3.427	12.932	52.819	76.782	15.83	7.111	26.233	29.375	47.692	22.108	47.025	13.433	3.89	10.817	24.333	29.207	17.368	15.826	15.827	23.846	57.547	27.955	8.555	99.476	7.108	47.465	19.783	15.705	22.752	32.723	67.91	19.169	2.259	19.895	6.107	13.272	4.823	29.099	9.66	52.04	36.592	43.755	86.388
