	TCGA.3X.AAV9.01A	TCGA.3X.AAVA.01A	TCGA.3X.AAVB.01A	TCGA.3X.AAVC.01A	TCGA.3X.AAVE.01A	TCGA.4G.AAZO.01A	TCGA.4G.AAZT.01A	TCGA.W5.AA2G.01A	TCGA.W5.AA2H.01A	TCGA.W5.AA2I.01A	TCGA.W5.AA2I.11A	TCGA.W5.AA2O.01A	TCGA.W5.AA2Q.01A	TCGA.W5.AA2Q.11A	TCGA.W5.AA2R.11A	TCGA.W5.AA2T.01A	TCGA.W5.AA2U.01A	TCGA.W5.AA2U.11A	TCGA.W5.AA2W.01A	TCGA.W5.AA2X.01A	TCGA.W5.AA2X.11A	TCGA.W5.AA2Z.01A	TCGA.W5.AA30.01A	TCGA.W5.AA30.11A	TCGA.W5.AA31.01A	TCGA.W5.AA31.11A	TCGA.W5.AA33.01A	TCGA.W5.AA34.01A	TCGA.W5.AA34.11A	TCGA.W5.AA36.01A	TCGA.W5.AA38.01A	TCGA.W5.AA39.01A	TCGA.W6.AA0S.01A	TCGA.WD.A7RX.01A	TCGA.YR.A95A.01A	TCGA.ZD.A8I3.01A	TCGA.ZH.A8Y1.01A	TCGA.ZH.A8Y2.01A	TCGA.ZH.A8Y4.01A	TCGA.ZH.A8Y5.01A	TCGA.ZH.A8Y6.01A	TCGA.ZH.A8Y8.01A	TCGA.ZU.A8S4.01A	TCGA.ZU.A8S4.11A
hsa-mir-134	1243.31	309.905	889.365	615.548	426.442	3964.642	651.161	1206.748	187.895	505.828	949.81	668.822	347.912	853.771	659.937	518.863	460.16	580.225	9714.011	864.741	813.372	1025.7	327.833	1298.913	5585.034	852.578	1264.578	1653.243	892.875	1122.367	1380.825	649.659	458.5	432.504	1031.508	2120.004	536.575	1770.525	675.865	917.259	454.286	1994.514	3837.066	667.651
hsa-mir-135b	167.161	9.427	137.493	391.367	7.444	164.801	145.822	20.628	7.783	34.456	2.423	5.644	34.544	8.675	0	599.842	354.164	6.186	48.478	941.267	15.675	254.697	328.823	12.06	131.866	1.347	117.71	74.316	3.001	2.531	2.897	9.361	102.649	110.852	7.548	422.502	595.153	90.253	405.29	436.074	1.221	810.91	139.235	7.25
hsa-mir-136	254.208	366.466	381.363	80.743	96.774	3089.784	223.102	250.485	45.584	330.678	247.144	217.297	67.855	301.459	206.657	86.477	139.646	272.174	2928.923	118.615	236.871	716.706	187.192	287.307	1182.737	199.339	305.615	620.824	214.59	201.191	365.001	132.927	151.921	326.195	227.267	408.45	122.623	422.226	66.216	166.292	228.364	847.603	390.722	203.657
hsa-mir-139	368.987	431.275	662.139	175.735	187.167	124.307	277.533	627.686	644.846	176.585	1742.126	595.449	213.436	1781.28	2672.891	33.991	246.484	3188.144	105.769	164.53	1914.995	263.582	359.527	1560.682	365.168	2062.08	374.73	61.739	1817.262	96.167	175.741	636.554	264.151	678.74	375.704	95.555	63.264	263.695	202.074	86.684	1293.249	343.864	292.502	2595.47
hsa-mir-140	9253.956	4299.789	2889.532	6083.282	5089.659	2026.582	4169.714	3136.955	9279.111	3692.495	3714.435	3691.219	5224.854	5956.155	5299.967	3859.483	4536.827	6474.023	3270.028	2943.69	6159.507	7593.535	5998.052	5184.301	3902.221	5375.415	4071.271	2674.229	4704.474	2416.821	3814.167	4373.498	5235.111	3898.893	3875.283	3919.619	6264.726	3893.428	4207.029	4594.257	10689.146	10070.592	5062.121	6493.289
hsa-mir-141	2075.265	63.631	5138.635	9977	137.185	39.552	29.568	32.416	123.41	376.619	29.076	87.483	880.884	30.363	18.521	34.991	111.044	38.352	52.003	13607.552	134.981	20.731	6617.072	106.41	53.761	39.06	132.829	41.16	28.512	11.388	56.005	282.705	31.479	27.259	41.931	69.324	7899.444	49.443	109.6	29.19	2844.17	186.609	138.156	28.341
hsa-mir-142	7761.83	9741.397	3433.717	6818.519	20232.085	3118.977	8332.036	9919.203	83821.077	2526.268	6680.169	5195.363	3675.287	11024.561	8889.167	1458.616	6516.274	9700.519	6817.7	5221.607	9354.648	5342.721	14028.469	14762.63	7082.221	7701.484	18929.79	5171.243	7830.285	2785.039	3980.252	1668.145	6746.108	25469.56	4461.481	5903.786	3131.972	3198.089	6395.597	1760.218	1581.451	8307.242	16387.673	6982.328
hsa-mir-143	299229.488	196398.678	188873.969	220259.639	209434.249	121555.354	323800.971	102837.324	148320.124	142603.251	84436.17	78520.243	230257.527	158754.408	98571.402	159871.386	280308.298	131432.693	200446.555	109339.981	131227.199	400837.357	198818.197	132094.676	245206.941	80382.053	137654.313	128296.677	61900.968	180322.716	218066.04	69519.141	128759.103	116674.226	316348.358	256227.291	319397.929	103498.779	240423.973	219919.326	273666.809	281012.08	190047.567	98857.881
hsa-mir-144	23.88	160.255	57.892	364.769	63.807	46.144	307.773	556.961	78.938	44.984	695.397	245.517	214.669	1662.721	991.368	69.982	326.403	1917.588	83.734	330.336	1206.124	58.245	74.282	1010.896	323.579	1686.299	2483.799	11.433	1821.764	118.943	120.701	327.638	305.21	163.552	376.542	42.157	68.732	69.063	156.408	61.033	1798.825	326.566	58.285	818.581
hsa-mir-145	7384.369	7728.78	13069.11	6010.138	9293.466	8831.452	10329.198	6122.146	7703.685	6544.177	6471.792	4289.49	15648.654	7895.032	7340.216	5524.045	7215.347	12078.328	3595.268	3554.621	11396.786	20844.707	15923.165	12149.197	9744.901	7091.346	6514.033	4975.735	4835.028	11728.543	5802.361	2834.536	5867.431	5227.298	8584.158	13631.543	13403.436	5477.953	6265.447	13972.946	12302.349	7145.654	6789.071	6617.196
