	TCGA.3X.AAV9.01A	TCGA.3X.AAVA.01A	TCGA.3X.AAVB.01A	TCGA.3X.AAVC.01A	TCGA.3X.AAVE.01A	TCGA.4G.AAZO.01A	TCGA.4G.AAZT.01A	TCGA.W5.AA2G.01A	TCGA.W5.AA2H.01A	TCGA.W5.AA2I.01A	TCGA.W5.AA2I.11A	TCGA.W5.AA2O.01A	TCGA.W5.AA2Q.01A	TCGA.W5.AA2Q.11A	TCGA.W5.AA2R.11A	TCGA.W5.AA2T.01A	TCGA.W5.AA2U.01A	TCGA.W5.AA2U.11A	TCGA.W5.AA2W.01A	TCGA.W5.AA2X.01A	TCGA.W5.AA2X.11A	TCGA.W5.AA2Z.01A	TCGA.W5.AA30.01A	TCGA.W5.AA30.11A	TCGA.W5.AA31.01A	TCGA.W5.AA31.11A	TCGA.W5.AA33.01A	TCGA.W5.AA34.01A	TCGA.W5.AA34.11A	TCGA.W5.AA36.01A	TCGA.W5.AA38.01A	TCGA.W5.AA39.01A	TCGA.W6.AA0S.01A	TCGA.WD.A7RX.01A	TCGA.YR.A95A.01A	TCGA.ZD.A8I3.01A	TCGA.ZH.A8Y1.01A	TCGA.ZH.A8Y2.01A	TCGA.ZH.A8Y4.01A	TCGA.ZH.A8Y5.01A	TCGA.ZH.A8Y6.01A	TCGA.ZH.A8Y8.01A	TCGA.ZU.A8S4.01A	TCGA.ZU.A8S4.11A
ENSG00000156711.17	2729.085925	214.4647342	3675.365023	3608.703133	3521.900477	4631.087341	2924.667359	2087.448721	1671.693882	3508.46875	684.4333167	1057.234532	5547.801915	351.4070474	393.1344663	3876.37367	5876.128565	513.3516543	4632.136452	4657.139218	489.6097241	3224.142549	3519.545409	378.9072127	4751.770203	162.054955	3571.56386	5132.16949	168.209145	6538.706298	4205.443042	4728.979913	1628.111615	2900.614098	3327.813162	4200.355423	4040.925374	3643.333167	4889.625349	4230.685503	5807.410074	1970.676403	1491.442779	298.5394878
ENSG00000156738.18	358.2488884	354.1371451	23.12519939	23.73546205	844.5012531	4.371699818	6.715654095	12.72280457	32550.35548	0.970799322	28.06824327	4.506541058	21.22037548	141.0758219	41.3825754	0.718512265	72.955791	35.25161574	1.715923857	8.447976813	114.4298589	2.073848123	120.2856801	119.6549093	7.668902872	17.15875995	636.6940988	1.733841044	63.91947508	0	0.922044078	8.852452102	13.31948867	1171.629897	4.563649427	4.453460423	0.872770059	4.945701132	3.138398812	0.531359646	3.948828246	2154.319127	6.199584	52.41532991
ENSG00000156966.7	964.0748117	1266.963934	3110.339318	1392.176139	178.4932816	929.714828	681.6388907	95.42103427	186.3269475	2874.536793	53.97739091	109.9596018	1007.304699	194.9411358	163.4611728	723.5418509	5814.505712	370.1419653	497.6179185	609.0223284	412.6978518	98.85342722	1040.437154	368.9359703	342.7409668	76.26115532	2171.803623	1459.027238	67.28365798	5342.664904	78.37374667	24.78686589	914.3437224	2751.19571	65.71655174	2928.150228	194.6277232	3454.572241	68.26017416	4900.730016	275.1017012	990.4042077	543.7920823	227.8927387
ENSG00000156968.9	426.2915834	53.16562738	307.5651519	3472.680678	48.75146899	2146.504611	2507.177529	387.1367676	81.35401935	6758.704881	1833.072195	94.63736222	1728.134328	1528.748907	1268.375936	1683.474237	155.1195945	1610.558194	1889.232166	22.27193887	2288.597178	1375.652589	1183.828558	1978.2945	2691.784908	3692.946446	1873.482744	712.608669	2410.437047	2051.991017	3501.92341	1876.719846	311.0492355	1415.126529	2480.799828	2153.990358	1644.298791	1749.953917	166.335137	1813.530472	11.1883467	1064.494548	175.3596617	1492.697439
ENSG00000157017.16	18.85520465	16.22002191	33.14611912	10.95482864	38.52938678	13.11509946	77.2300221	16.35789159	191.575594	1.941598644	12.95457382	20.73008887	6.631367338	28.21516439	16.55303016	17.24429436	14.16617301	17.62580787	4.289809642	13.05596417	45.02158383	13.82565416	25.14446421	11.96549093	12.97814332	15.25223106	29.69397641	19.07225148	10.0925487	11.44039594	11.98657302	8.852452102	24.28847934	32.41351268	13.69094828	14.10262467	8.727700592	51.92986188	17.26119347	2.656798231	6.58138041	24.69678012	23.02702629	13.67356432
ENSG00000157064.11	123.7885175	19.82447123	242.0437536	420.8480001	45.60621292	97.63462928	3.357827048	46.3473595	42.86394568	7.766394578	2.159095636	219.9192036	253.3182323	25.65014945	2.06912877	58.19949347	80.74718616	11.01612992	24.022934	39.93589039	18.75899326	109.9139505	274.550366	27.91947883	81.40835357	3.813057766	81.48579572	14.73764887	5.046274349	5.200179973	31.34949867	0	15.66998667	60.08358448	40.16011495	240.4868629	270.5587183	47.80844427	80.0291697	570.1489003	175.0647189	144.3811761	407.4012343	2.278927387
ENSG00000157087.20	7.378123559	109.0345917	9.250079756	4.564511932	7.863140159	11.65786618	19.0276866	439.8455294	10.49729282	22.32838441	3262.393506	104.5517525	5580.295615	3916.77782	3660.288795	280.2197834	4.958160554	6124.968235	2886.183927	16.12795573	2939.534244	65.67185724	50.28892842	3912.715534	910.2397794	4310.661804	283.1286122	738.6162847	3560.987599	716.5848003	239.7314604	4514.750572	21.15448201	468.0195002	115.0039656	486.1694296	206.846504	66.76696528	690.4477386	349.6346472	100.0369822	132.3494114	31.88357486	3420.670009
ENSG00000157103.12	150.8416372	105.4301424	99.43835737	102.2450673	88.8534838	78.69059673	83.94567619	1395.873416	11.37206722	33.97797628	15966.51223	152.3210878	622.685393	7984.891522	11107.08324	911.0735521	98.45490242	14131.49146	122.6885558	63.74382505	7965.068539	521.2271617	432.8925325	10579.48823	1395.150407	17433.30011	467.507489	140.4411246	18025.29197	227.7678828	1486.335054	4574.947246	51.71095602	1090.200829	291.1608334	506.2100015	237.3934561	84.07691924	130.2435507	184.9131569	469.9105613	426.1777697	77.93762743	6435.690942
ENSG00000157111.13	149.2020542	9.011123285	87.1049177	1223.289198	195.79219	247.7296564	34.69754616	25.44560914	3.499097607	311.6265824	77.7274429	18.02616423	261.9390098	61.56035867	144.8390139	357.819108	620.4783779	74.90968346	1051.861324	12.28796627	151.9478454	662.2488341	405.7093279	123.6434063	179.9242597	59.10239537	1351.421205	126.5703962	90.83293828	7.280251962	2208.295568	513.4422219	9.401992005	396.867887	11.86548851	75.7088272	817.7855454	131.06108	297.3632874	2097.807883	42.77897267	452.1410513	185.1018651	52.41532991
ENSG00000157131.11	2.45937452	28.83559451	8.479239776	108.635384	63.69143529	20.40126582	92.89988165	4397.546522	0	335.8965655	40159.17883	3023.88905	41.77761423	27422.57477	52651.05069	63.94759159	48.87329689	39907.03225	29.17070557	137.4716227	34846.70588	73.96724974	332.9942558	43458.66305	2787.351236	50633.59407	1455.695401	221.9316536	28339.87674	271.4493946	54.40060063	2868.194481	10.96899067	4382.939373	1737.837702	14.10262467	109.0962574	1.648567044	688.0939395	4.250877169	4855.742467	1018.900492	194.8440686	66674.57858
