	TCGA.2J.AAB1.01A	TCGA.2J.AAB4.01A	TCGA.2J.AAB6.01A	TCGA.2J.AAB8.01A	TCGA.2J.AAB9.01A	TCGA.2J.AABA.01A	TCGA.2J.AABE.01A	TCGA.2J.AABF.01A	TCGA.2J.AABH.01A	TCGA.2J.AABI.01A	TCGA.2J.AABK.01A	TCGA.2J.AABO.01A	TCGA.2J.AABP.01A	TCGA.2J.AABR.01A	TCGA.2J.AABT.01A	TCGA.2J.AABU.01A	TCGA.2J.AABV.01A	TCGA.2L.AAQA.01A	TCGA.2L.AAQE.01A	TCGA.2L.AAQI.01A	TCGA.2L.AAQJ.01A	TCGA.2L.AAQL.01A	TCGA.2L.AAQM.01A	TCGA.3A.A9I5.01A	TCGA.3A.A9I7.01A	TCGA.3A.A9I9.01A	TCGA.3A.A9IB.01A	TCGA.3A.A9IC.01A	TCGA.3A.A9IH.01A	TCGA.3A.A9IJ.01A	TCGA.3A.A9IL.01A	TCGA.3A.A9IN.01A	TCGA.3A.A9IO.01A	TCGA.3A.A9IR.01A	TCGA.3A.A9IS.01A	TCGA.3A.A9IU.01A	TCGA.3A.A9IV.01A	TCGA.3A.A9IX.01A	TCGA.3A.A9IZ.01A	TCGA.3A.A9J0.01A	TCGA.3E.AAAY.01A	TCGA.3E.AAAZ.01A	TCGA.F2.6879.01A	TCGA.F2.6880.01A	TCGA.F2.7273.01A	TCGA.F2.7276.01A	TCGA.F2.A44G.01A	TCGA.F2.A44H.01A	TCGA.F2.A7TX.01A	TCGA.F2.A8YN.01A	TCGA.FB.A4P5.01A	TCGA.FB.A4P6.01A	TCGA.FB.A545.01A	TCGA.FB.A5VM.01A	TCGA.FB.A78T.01A	TCGA.FB.A7DR.01A	TCGA.FB.AAPP.01A	TCGA.FB.AAPQ.01A	TCGA.FB.AAPS.01A	TCGA.FB.AAPU.01A	TCGA.FB.AAPY.01A	TCGA.FB.AAPZ.01A	TCGA.FB.AAQ0.01A	TCGA.FB.AAQ1.01A	TCGA.FB.AAQ2.01A	TCGA.FB.AAQ3.01A	TCGA.FB.AAQ6.01A	TCGA.H6.8124.01A	TCGA.H6.8124.11A	TCGA.H6.A45N.01A	TCGA.H6.A45N.11A	TCGA.H8.A6C1.01A	TCGA.HV.A5A3.01A	TCGA.HV.A5A3.11A	TCGA.HV.A5A4.01A	TCGA.HV.A5A5.01A	TCGA.HV.A5A6.01A	TCGA.HV.A7OL.01A	TCGA.HV.A7OP.01A	TCGA.HV.AA8V.01A	TCGA.HV.AA8X.01A	TCGA.HZ.7289.01A	TCGA.HZ.7918.01A	TCGA.HZ.7919.01A	TCGA.HZ.7920.01A	TCGA.HZ.7922.01A	TCGA.HZ.7923.01A	TCGA.HZ.7924.01A	TCGA.HZ.7925.01A	TCGA.HZ.7926.01A	TCGA.HZ.8001.01A	TCGA.HZ.8002.01A	TCGA.HZ.8003.01A	TCGA.HZ.8005.01A	TCGA.HZ.8315.01A	TCGA.HZ.8317.01A	TCGA.HZ.8519.01A	TCGA.HZ.8636.01A	TCGA.HZ.8637.01A	TCGA.HZ.8638.01A	TCGA.HZ.A49G.01A	TCGA.HZ.A49H.01A	TCGA.HZ.A49I.01A	TCGA.HZ.A4BH.01A	TCGA.HZ.A4BK.01A	TCGA.HZ.A77O.01A	TCGA.HZ.A77P.01A	TCGA.HZ.A77Q.01A	TCGA.HZ.A8P0.01A	TCGA.HZ.A8P1.01A	TCGA.HZ.A9TJ.01A	TCGA.HZ.A9TJ.06A	TCGA.IB.7644.01A	TCGA.IB.7645.01A	TCGA.IB.7646.01A	TCGA.IB.7647.01A	TCGA.IB.7649.01A	TCGA.IB.7651.01A	TCGA.IB.7652.01A	TCGA.IB.7654.01A	TCGA.IB.7885.01A	TCGA.IB.7886.01A	TCGA.IB.7887.01A	TCGA.IB.7888.01A	TCGA.IB.7889.01A	TCGA.IB.7890.01A	TCGA.IB.7891.01A	TCGA.IB.7893.01A	TCGA.IB.7897.01A	TCGA.IB.8126.01A	TCGA.IB.8127.01A	TCGA.IB.A5SO.01A	TCGA.IB.A5SP.01A	TCGA.IB.A5SQ.01A	TCGA.IB.A5SS.01A	TCGA.IB.A5ST.01A	TCGA.IB.A6UF.01A	TCGA.IB.A6UG.01A	TCGA.IB.A7LX.01A	TCGA.IB.A7M4.01A	TCGA.IB.AAUM.01A	TCGA.IB.AAUN.01A	TCGA.IB.AAUO.01A	TCGA.IB.AAUP.01A	TCGA.IB.AAUQ.01A	TCGA.IB.AAUR.01A	TCGA.IB.AAUS.01A	TCGA.IB.AAUT.01A	TCGA.IB.AAUU.01A	TCGA.IB.AAUV.01A	TCGA.IB.AAUW.01A	TCGA.L1.A7W4.01A	TCGA.LB.A7SX.01A	TCGA.LB.A8F3.01A	TCGA.LB.A9Q5.01A	TCGA.M8.A5N4.01A	TCGA.OE.A75W.01A	TCGA.PZ.A5RE.01A	TCGA.Q3.A5QY.01A	TCGA.Q3.AA2A.01A	TCGA.RB.A7B8.01A	TCGA.RB.AA9M.01A	TCGA.RL.AAAS.01A	TCGA.S4.A8RM.01A	TCGA.S4.A8RO.01A	TCGA.S4.A8RP.01A	TCGA.US.A774.01A	TCGA.US.A776.01A	TCGA.US.A779.01A	TCGA.US.A77E.01A	TCGA.US.A77G.01A	TCGA.US.A77J.01A	TCGA.XD.AAUG.01A	TCGA.XD.AAUH.01A	TCGA.XD.AAUI.01A	TCGA.XD.AAUL.01A	TCGA.XN.A8T3.01A	TCGA.XN.A8T5.01A	TCGA.YB.A89D.01A	TCGA.YB.A89D.11A	TCGA.YH.A8SY.01A	TCGA.YY.A8LH.01A	TCGA.Z5.AAPL.01A
hsa-mir-3127	9.2	6.159	7.824	11.698	10.05	6.323	18.061	17.061	16.085	14.618	8.027	6.752	8.385	7.77	10.216	8.582	12.656	12.007	4.759	8.496	7.008	9.274	4.617	4.413	13.694	15.661	7.583	3.619	8.878	27.907	11.521	3.662	47.724	10.125	9.913	21.325	9.627	6.092	19.232	22.426	13.331	3.647	25.459	9.094	10.663	6.452	12.074	12.392	8.403	12.988	10.749	9.97	17.579	8.777	13.139	7.57	19.155	5.091	9.076	9.855	7.402	11.806	4.917	10.394	14.52	14.341	5.026	8.153	7.031	12.099	14.01	21.418	25.298	9.252	20.712	9.829	22.134	14.016	21.453	19.287	25.65	18.315	8.228	22.314	5.723	22.54	13.6	14.695	12.785	12.34	13.078	14.379	11.47	16.779	12.847	18.119	9.211	8.948	17.65	12.445	14.326	16.393	27.352	15.202	22.123	27.331	26.295	16.58	16.748	13.2	6.387	12.982	21.079	19.511	22.534	22.277	9.941	24.761	6.248	6.381	14.203	27.561	23.622	7.347	17.117	10.186	17.252	6.895	26.267	10.264	30.708	17.993	30.896	20.883	18.365	12.1	16.221	8.972	25.563	14.828	3.25	8.569	10.978	7.675	5.704	9.623	11.352	6.676	27.43	5.229	8.499	51.574	26.043	5.265	3.966	23.32	23.77	34.371	21.738	21.485	15.503	5.575	8.673	9.863	11.371	12.104	25.383	29.163	19.352	7.48	15.162	10.519	14.221	8.797	6.447	19.86	12.506	13.548	19.018	12.466	18.902	18.979	15.323
hsa-mir-3130-2	3.345	2.053	7.824	8.945	7.178	7.903	6.773	1.896	5.027	4.498	4.013	12.003	20.963	8.88	9.288	3.814	3.164	1.092	0	7.434	1.752	3.091	1.731	2.207	2.49	4.819	3.791	10.856	5.179	0.45	0	2.441	2.767	0.844	1.859	5.051	0.642	7.31	7.479	17.62	3.809	2.431	7.129	27.283	1.64	3.97	6.037	0	2.801	3.247	0.977	2.849	12.409	3.901	5.053	2.163	1.915	2.545	1.135	0	7.402	7.871	2.107	8.661	1.613	10.244	5.026	11.414	3.835	0.672	1.751	5.587	0	0.925	0	5.293	0	7.008	0	0	6.996	10.302	21.157	10.041	1.272	9.281	9.067	21.374	11.801	6.644	7.042	6.291	6.882	18.877	1.101	15.099	11.304	4.818	14.709	13.223	5.571	1.171	3.039	0	4.148	3.904	12.326	0.921	1.117	6	17.565	8.925	12.882	6.504	14.486	11.138	9.941	12.381	0	21.538	16.097	17.539	9.085	0	7.048	13.581	7.962	8.618	11.421	5.987	0.579	3.788	0	0.87	4.591	3.025	7.097	6.409	4.26	2.696	6.499	8.569	3.293	2.558	5.704	6.415	0.71	0	8.128	0.747	2.833	13.683	7.441	3.761	5.949	1.555	9.055	6.683	7.905	3.392	3.876	1.64	4.67	1.517	10.559	3.026	2.115	19.442	7.13	5.343	3.032	3.156	0	4.398	9.025	0	0.782	1.806	3.067	0.89	5.559	2.92	23.681
hsa-mir-32	54.362	110.17	69.295	154.132	117.727	101.163	99.334	77.722	79.419	113.57	96.32	79.523	106.214	184.259	83.588	142.081	262.609	88.412	102.793	86.018	157.672	126.741	155.832	132.402	150.63	197.568	45.496	98.912	54.005	122.433	138.252	104.976	144.556	89.436	150.546	161.621	141.835	120.618	179.497	64.074	64.753	82.659	72.304	86.396	88.587	77.916	126.772	126.399	110.637	68.188	95.767	94.716	74.451	89.718	78.831	83.271	206.871	217.636	83.955	90.884	103.622	224.319	70.942	147.243	107.29	263.259	77.068	59.789	136.149	61.165	267.933	69.84	167.889	131.38	61.1	117.951	261.503	126.143	292.302	92.93	79.283	127.058	94.029	75.867	61.044	31.822	55.695	116.223	42.288	46.511	52.312	49.429	116.992	39.851	119.66	79.523	95.459	39.922	86.291	86.34	131.32	105.383	88.134	69.494	113.382	84.597	36.978	105.928	213.26	183.599	108.586	98.18	70.263	31.434	41.849	73.514	78.424	56.745	78.541	86.948	85.221	98.971	100.847	62.452	74.511	48.666	43.13	36.197	20.557	85.53	95.021	59.662	87.171	83.531	32.139	62.01	81.105	134.587	111.838	124.013	95.323	102.822	113.07	86.978	92.4	128.308	76.629	95.692	73.148	55.276	87.251	113.673	69.448	205.344	174.513	69.961	114.324	146.076	120.546	67.846	76.224	40.666	47.368	60.695	120.208	134.158	89.897	192.476	75.372	119.675	242.585	123.07	41.872	48.382	79.94	81.776	164.142	90.323	86.502	76.576	47.811	99.277	253.524
hsa-mir-3200	5.018	6.159	7.824	3.44	1.436	1.581	7.902	7.583	19.101	1.124	3.211	3.751	9.783	1.11	3.715	6.675	15.82	2.183	0	3.186	0.584	4.637	10.389	7.723	2.49	4.819	7.583	3.619	5.918	307.433	37.635	18.31	89.915	204.184	43.987	5.612	28.881	3.655	13.89	0	4.761	4.862	4.073	13.642	1.64	3.474	3.018	7.435	7.002	3.247	0.977	4.985	8.272	0.975	2.021	2.163	1.915	2.545	6.807	5.475	6.476	3.935	3.512	3.465	9.68	2.049	1.675	5.435	8.31	4.033	5.254	0.931	2.3	3.701	5.178	3.78	8.198	3.504	16.09	10.52	5.441	2.289	8.228	6.694	16.533	18.563	0.648	5.344	1.967	3.797	10.06	4.494	32.115	4.195	2.569	7.046	13.398	13.078	6.374	3.889	3.184	11.709	2.026	3.258	5.531	10.412	3.287	1.842	5.583	4.8	11.178	14.605	1.171	4.336	3.219	30.074	4.418	3.095	12.495	4.786	4.734	3.758	3.634	6.429	1.007	4.244	7.299	5.171	3.426	5.987	5.215	3.788	9.931	10.441	4.591	3.025	2.028	5.127	1.065	5.392	4.333	0	2.196	2.558	3.422	4.01	2.838	4.451	5.08	8.217	4.533	74.73	14.882	9.026	3.966	3.109	3.396	5.728	6.917	7.915	1.292	7.215	2.669	3.793	8.122	3.026	8.461	0	2.037	2.137	1.011	1.052	5.53	8.064	4.513	5.841	2.345	2.71	6.748	3.562	7.783	5.11	6.965
hsa-mir-320a	1379.124	1368.577	889.656	1351.411	961.916	1862.033	791.287	1273.874	2219.705	1669.823	1158.25	1276.122	1180.937	998.993	1706.114	1169.068	563.186	1771.515	962.258	1090.627	1248.53	1428.152	799.935	797.722	1160.225	1431.166	1000.919	1022.892	1087.502	595.51	2188.988	1251.162	1051.316	1033.575	2213.589	1149.308	1841.934	834.578	2006.518	983.54	1171.263	1120.762	1918.614	668.436	1380.473	988.088	2402.627	1257.79	963.523	1188.425	1742.375	1381.572	2695.747	1203.394	1248.163	1598.379	1319.758	1375.816	635.333	1128.93	1273.991	1384.283	2583.406	1706.29	910.751	819.483	1626.811	1306.12	1091.748	1652.132	1586.581	2892.318	1791.583	1030.685	2500.94	1494.802	1737.071	2503.594	1399.83	1206.343	1272.417	734.873	1198.875	1102.302	1530.54	1919.905	1189.671	718.71	1189.979	1037.477	1142.813	1461.288	704.246	1235.368	1133.101	626.114	1782.732	1572.086	1621.878	1323.097	1675.323	1232.976	3099.887	1728.671	1993.856	1947.028	2260.585	2165.528	2045.505	1073.996	1758.141	1862.173	2310.484	1882.795	835.375	1099.369	1628.118	1102.912	1117.431	1200.519	1415.611	1527.153	1282.851	1623.74	1602.998	961.163	1301.865	1049.721	2124.226	987.015	1168.648	2085.339	3096.218	1071.117	2338.52	1814.932	2101.623	1156.167	2013.078	1896.583	992.23	1045.361	695.983	995.133	763.152	1349.637	1052.226	873.468	1231.321	1143.62	1224.351	1407.23	1617.149	2293.389	422.4	2437.751	2422.316	2255.103	2517.643	1725.545	1434.036	1047.157	1248.259	2119.789	1790.129	1782.387	1886.783	688.248	3444.719	2730.094	840.963	1965.959	1773.617	1569.486	898.033	1067.758	1148.209	2820.778	2361.314	1975.827	2566.21	4763.845	1714.772
hsa-mir-320b-1	4.182	4.106	3.353	7.569	4.307	1.581	5.644	7.583	5.027	1.124	5.619	3.001	5.59	6.66	7.43	6.675	0	10.915	2.855	2.124	4.672	2.318	2.886	3.31	4.98	6.023	1.896	2.412	0.74	3.151	14.593	6.103	5.533	2.531	12.391	3.928	8.985	4.873	21.369	3.204	7.618	2.431	9.165	4.547	8.202	2.978	9.055	9.914	0	6.494	5.863	1.424	11.374	1.95	3.032	3.244	11.493	7.636	1.135	3.285	0	4.919	9.131	17.323	5.647	5.122	8.377	11.414	4.474	2.016	10.507	13.968	9.199	2.776	6.214	5.293	4.919	10.512	0	1.753	3.886	2.289	11.754	1.116	7.63	13.259	3.886	4.008	7.868	7.594	2.012	2.696	9.176	2.097	3.304	2.013	8.374	8.26	9.316	8.556	4.775	2.342	10.13	6.515	1.383	3.904	5.752	7.369	10.049	3.6	4.791	8.925	9.368	8.671	3.219	7.797	5.523	5.159	3.57	11.168	6.628	5.011	4.543	5.51	2.014	3.395	4.645	5.171	7.994	8.553	2.318	3.788	8.827	5.221	9.183	9.075	7.097	3.845	8.521	5.392	5.416	1.714	2.196	2.558	4.563	4.01	2.838	1.113	4.064	2.988	3.399	3.158	2.48	14.291	3.966	6.219	13.583	6.683	10.869	2.262	3.876	4.591	4.67	10.622	7.31	5.044	7.403	1.944	13.241	10.685	9.097	2.104	7.11	5.131	3.223	2.336	3.127	3.613	9.816	2.671	5.559	20.439	11.144
hsa-mir-323b	20.072	36.267	71.53	36.469	67.478	12.645	27.091	45.496	91.482	22.489	83.477	35.26	11.18	26.64	26.005	9.536	85.427	1.092	13.325	48.85	10.511	16.229	5280.382	99.301	24.898	30.117	42.653	26.537	17.015	1486.299	6.913	402.203	138.331	2138.024	293.039	19.08	1581.368	6.092	21.369	11.213	18.093	29.174	6.11	222.812	54.136	55.087	13.583	35.937	57.419	29.224	44.952	39.88	48.6	28.281	17.181	10.814	19.155	30.545	31.767	28.47	10.177	14.758	14.048	39.842	92.769	8.195	21.78	46.201	133.592	103.51	50.785	28.867	5.75	21.28	27.961	30.244	27.052	10.512	2.682	31.561	13.214	318.216	128.115	75.867	105.555	45.081	53.105	57.443	69.825	49.358	102.612	51.226	194.987	50.338	33.769	132.873	25.121	54.376	79.427	82.45	27.06	50.349	22.287	55.378	19.358	54.663	19.722	26.712	8.932	16.8	33.534	370	32.789	34.686	27.363	96.905	17.673	62.935	42.841	80.566	43.557	41.342	27.256	78.064	23.159	31.69	171.193	74.118	180.445	121.452	46.352	32.199	47.447	35.675	18.365	31.761	28.387	49.989	15.977	13.48	47.662	8.569	32.933	12.791	27.378	8.019	21.995	25.592	12.191	20.168	19.83	33.681	31.004	77.474	65.442	34.203	10.187	7.638	13.833	14.7	28.422	46.569	26.686	25.037	12.183	24.209	41.247	3.888	15.278	28.85	31.334	24.193	75.843	100.43	24.498	21.028	42.208	9.935	41.717	24.932	16.678	17.52	8.358
hsa-mir-324	171.45	151.912	244.767	120.416	122.034	96.421	125.297	187.669	225.187	161.922	150.902	88.526	360.57	130.979	135.598	123.963	104.411	137.53	113.263	118.939	109.787	139.106	208.353	120.265	136.936	125.287	110.897	159.224	122.067	366.849	783.427	188.59	646.697	545.053	275.072	128.511	360.685	205.903	148.512	129.75	127.601	134.929	184.325	109.132	132.88	118.61	113.189	156.139	113.438	108.777	167.104	150.976	171.651	116.049	90.959	154.647	126.421	66.182	116.856	139.063	90.669	165.288	117.3	143.779	188.765	95.265	97.173	153.821	238.42	174.758	159.359	110.813	133.391	169.314	105.63	133.829	147.557	152.423	166.263	117.478	115.816	217.486	168.078	147.271	150.701	167.064	130.171	162.979	178.989	146.177	176.05	131.21	158.283	115.357	147.189	257.693	164.541	179.647	200.528	185.903	146.442	180.321	152.968	114.014	105.085	136.656	145.447	118.823	113.887	142.8	124.555	144.43	125.302	126.82	131.986	152.597	121.501	151.663	127.63	117.26	158.132	132.796	131.738	121.229	107.739	139.492	183.137	146.513	179.303	142.835	181.931	117.431	162.204	185.335	137.74	131.583	170.32	137.151	168.289	184.671	102.906	90.826	104.288	134.305	99.244	111.467	151.129	202.511	118.865	148.648	117.846	777.819	109.133	241.449	182.445	157.023	98.477	144.166	109.678	118.73	120.149	112.488	84.062	69.041	121.833	162.402	132.202	233.304	116.114	112.196	160.713	92.565	112.974	133.417	125.067	132.009	149.291	80.387	110.428	123.767	121.195	112.417	158.801
hsa-mir-326	9.2	19.16	11.177	23.395	11.486	14.226	7.902	7.583	15.08	8.996	8.829	11.253	9.783	17.76	27.863	10.489	9.492	5.458	7.614	12.743	9.344	6.182	11.543	3.31	6.224	12.047	3.791	9.65	5.179	4.501	19.97	6.103	4.842	3.375	4.956	8.418	17.97	18.275	40.6	14.417	18.093	8.509	49.9	18.189	18.866	13.399	7.546	13.631	9.803	4.871	10.749	10.682	7.238	11.702	7.075	23.792	15.324	35.636	3.404	14.235	16.653	18.693	11.941	8.661	8.874	11.268	15.079	14.676	51.136	19.492	8.756	6.518	14.949	6.476	3.107	12.854	8.198	21.024	5.363	14.027	5.441	19.459	25.858	25.661	6.995	19.889	27.848	33.397	15.735	25.628	21.126	9.886	20.646	16.779	24.226	26.172	28.47	39.922	43.636	31.891	25.468	35.128	20.261	4.343	11.062	13.015	23.83	10.132	14.515	6	22.356	6.491	18.737	35.77	17.705	17.822	26.509	22.698	32.131	10.37	28.407	32.573	9.085	10.102	16.111	20.655	41.139	15.513	20.557	28.225	31.288	12.311	12.138	10.441	15.304	4.537	13.179	7.691	6.391	2.696	2.166	5.141	7.684	5.116	10.267	7.217	9.933	4.451	11.175	6.723	8.499	44.206	9.921	8.274	9.915	0	10.187	17.185	13.833	7.915	16.795	5.903	4.67	4.552	4.873	13.113	8.461	3.888	7.13	8.548	15.162	8.415	9.48	8.064	11.604	7.009	9.38	17.161	7.975	9.795	2.224	15.33	37.611
hsa-mir-328	98.688	123.172	153.119	89.452	50.249	123.292	93.69	62.556	143.758	137.184	154.915	84.024	81.058	92.129	184.821	69.61	120.231	78.588	57.107	129.558	63.653	92.737	161.603	87.165	58.509	55.416	116.584	86.849	83.597	1467.394	529.197	277.697	616.265	1020.075	235.422	98.207	314.477	149.858	97.227	105.722	107.604	96.031	179.234	350.133	125.498	67.494	87.533	111.528	82.628	142.871	133.879	136.733	152.004	83.867	133.407	149.24	68.957	101.818	57.861	104.024	69.389	103.305	124.324	90.078	141.17	44.047	115.602	125.014	162.995	153.921	204.89	96.845	108.093	86.97	126.341	83.171	142.638	105.119	72.405	131.505	76.951	49.22	229.197	178.511	121.451	234.685	118.514	181.681	174.071	79.733	105.63	82.68	268.393	174.084	107.547	130.86	209.339	336.581	158.854	150.122	110.627	251.747	198.555	132.474	88.493	111.928	233.372	95.795	89.323	88.8	205.995	258.838	120.618	157.171	56.336	116.954	80.633	222.852	215.097	102.104	130.672	150.335	129.92	197.457	68.47	101.86	333.097	179.263	210.139	148.822	220.751	177.093	136.825	80.051	122.436	89.234	202.761	116.642	107.577	126.708	96.407	123.387	82.332	88.257	86.696	73.777	61.729	91.241	76.196	88.143	87.251	136.829	186.022	142.162	150.715	143.031	151.678	143.211	144.261	74.63	147.279	71.166	72.053	116.08	61.729	113.984	124.798	126.373	107.966	96.168	130.39	111.499	222.788	117.29	72.848	126.168	103.956	71.355	109.814	97.945	103.404	124.096	146.264
hsa-mir-330	90.325	106.065	197.825	101.149	89.013	135.938	103.849	115.634	390.057	53.974	146.086	90.026	100.624	91.019	60.369	73.424	63.279	74.222	75.191	75.399	74.748	56.415	140.826	88.268	63.489	104.808	66.349	127.861	93.954	809.768	549.167	89.107	196.43	120.654	224.271	199.221	104.612	115.744	144.239	107.324	81.893	69.288	232.189	63.661	131.239	110.67	76.969	73.113	117.639	64.941	103.585	74.064	110.642	122.875	63.671	87.597	82.365	95.454	73.744	98.549	159.133	76.741	92.014	83.149	162.951	121.898	113.927	92.945	84.374	115.609	45.531	99.639	141.441	34.233	105.63	111.902	115.586	131.399	77.768	180.601	148.462	89.284	223.32	170.701	134.169	224.077	176.152	120.23	137.683	171.805	143.858	88.971	116.992	56.63	185.73	117.774	335.361	194.79	165.228	122.898	152.809	100.699	85.095	108.585	143.801	96.31	68.204	74.61	90.44	102	113.377	83.575	120.618	158.254	93.356	187.127	204.343	139.283	100.854	82.959	113.628	159.105	89.945	116.637	144.995	127.891	144.652	62.052	186.155	84.675	220.172	106.066	124.687	205.348	78.053	152.757	160.182	132.023	109.707	53.918	59.577	66.835	75.746	70.35	77.57	123.496	70.953	63.424	160.519	78.432	83.285	148.407	83.09	66.944	67.425	83.953	139.227	230.093	122.523	56.538	85.267	67.231	71.386	58.419	96.654	144.245	137.49	108.875	161.949	121.812	95.013	109.395	90.853	166.405	79.94	355.141	69.565	94.839	72.392	51.644	128.978	118.257	143.478
hsa-mir-331	68.58	56.112	112.883	77.066	58.863	66.388	81.273	73.93	90.477	50.601	61.003	97.528	81.058	71.039	86.374	43.864	88.591	75.314	49.493	61.593	71.828	62.598	126.974	68.408	74.693	91.556	87.201	73.581	65.842	87.323	139.02	81.783	94.065	84.373	105.321	86.423	126.432	79.194	103.638	40.046	62.848	91.168	170.068	159.151	91.047	53.598	64.895	53.286	92.431	63.318	53.747	42.729	109.608	46.809	76.81	47.584	80.45	72.545	81.686	125.923	75.866	86.579	100.442	98.74	70.182	111.655	92.147	100.011	155.964	60.493	50.785	83.808	123.042	57.363	72.491	38.561	128.702	108.623	37.543	77.15	81.615	113.322	128.115	146.155	55.957	153.805	50.514	134.925	118.014	81.631	51.306	46.732	91.758	144.721	146.822	113.747	82.48	164.505	153.461	136.899	47.753	59.717	54.704	64.065	114.764	89.803	71.491	90.269	63.643	58.8	76.649	56.798	176.829	95.386	77.26	96.905	70.692	128.965	85.682	132.416	131.619	105.234	99.03	84.493	74.511	110.631	145.315	101.697	53.677	91.517	188.884	74.815	60.689	36.545	58.157	28.736	88.201	82.034	77.754	105.141	41.162	44.556	109.776	47.326	66.163	36.888	48.248	67.875	60.956	45.566	43.626	106.305	63.247	82.74	71.392	138.367	65.652	89.746	72.13	130.038	87.851	50.833	50.704	56.143	60.916	96.836	48.65	103.043	79.447	85.482	77.83	44.179	66.362	38.119	55.442	107.477	100.048	47.871	63.803	40.069	81.167	91.977	83.579
hsa-mir-335	475.041	648.021	590.123	370.193	720.719	336.683	417.655	424.625	828.368	229.39	606.014	480.89	335.414	394.047	544.248	193.573	768.844	721.486	866.128	676.465	358.558	559.514	601.394	323.281	291.301	539.699	436.007	168.874	597.756	650.875	511.532	566.38	634.248	405.836	460.313	425.94	949.848	806.555	358.994	549.437	496.12	454.626	316.714	713.908	388.796	365.26	276.181	1646.899	939.715	469.201	281.438	384.561	588.37	714.82	1022.786	193.579	1101.394	328.363	342.626	1050.091	398.758	609.99	573.154	519.682	800.235	594.125	892.987	248.397	244.173	388.5	581.396	785.936	592.211	324.749	928.921	402.243	185.266	360.91	1225.521	559.336	1037.677	279.298	1176.543	493.135	320.479	405.726	453.979	410.119	515.33	307.541	718.282	986.774	442.734	281.051	505.803	389.56	531.721	708.953	325.062	161.79	586.562	324.344	358.614	875.194	367.799	616.906	360.74	464.239	663.226	1319.995	603.612	1209.804	467.249	841.133	220.513	419.921	448.45	252.772	540.865	567.155	322.892	270.603	446.999	551.961	645.428	364.716	475.094	480.907	519.636	1090.506	763.648	516.126	954.465	349.788	454.542	825.794	433.91	752.405	1092.814	726.552	739.839	630.644	306.276	308.261	604.59	311.948	117.781	274.836	684.744	173.298	486.681	3188.109	587.829	456.572	705.983	304.719	654.252	283.559	1612.556	586.866	530.981	630.984	352.261	1058.377	847.956	680.878	479.099	748.518	957.432	354.752	509.429	404.973	624.123	826.161	230.149	141.355	833.214	544.646	801.215	1552.881	326.892	940.213	307.851
hsa-mir-337	249.229	303.824	190.002	282.805	325.903	477.363	294.616	200.939	289.527	273.244	268.091	352.603	53.107	375.177	174.605	274.626	329.052	290.341	256.031	315.4	221.325	241.117	162.18	237.22	192.956	191.545	267.291	285.879	211.582	844.427	36.867	164.177	22.825	610.02	45.226	130.756	321.536	475.161	252.15	310.76	282.817	266.211	198.583	213.718	250.175	176.675	197.704	297.408	158.253	251.647	338.117	306.225	319.519	203.816	180.908	348.226	208.786	556.181	366.451	416.094	325.668	187.916	259.184	355.116	211.352	270.429	241.257	298.402	398.859	458.403	187.378	274.705	316.229	184.117	342.779	348.56	241.829	154.175	26.817	534.789	230.854	788.672	209.215	233.179	217.468	259.877	147.009	137.597	336.341	379.68	378.255	310.052	341.8	331.389	253.268	480.155	203.059	298.036	230.926	343.803	315.963	488.272	234.011	276.891	217.084	162.686	357.453	259.753	266.854	283.199	287.434	520.11	329.065	215.703	164.178	218.314	208.761	193.964	215.989	178.682	240.512	281.878	149	263.582	213.465	228.336	191.099	337.841	243.258	265.998	195.257	452.676	242.754	180.985	223.445	192.08	217.969	225.593	199.178	218.37	252.39	219.355	171.251	271.167	464.279	181.235	317.867	216.976	186.933	377.97	233.992	238.924	173.62	297.11	273.668	248.75	195.823	232.003	170.939	151.522	368.198	207.267	264.196	169.189	211.177	375.239	351.128	147.759	262.785	410.315	282.006	313.459	569.611	293.225	200.494	195.094	411.136	568.13	346.62	313.426	235.718	199.284	75.222
